"user","art","auxv","conj","adv","ipron","ppron","prep","quant"
"Elektrik Shoos",3.11111111111111,5.11111111111111,3.55555555555556,1.88888888888889,2.11111111111111,3.22222222222222,7.44444444444444,1.44444444444444
"Elektrik blue 82",3.625,5,3.5,2,3.5,5.875,7.75,1.5
"Eleland",3,2,0,1,1,4,4,0
"Elemesh",3,1,2,2,1,4,5,1
"Elen of the Roads",3.48529411764706,5.14705882352941,2.86764705882353,2.33823529411765,3.32352941176471,4.23529411764706,6.61764705882353,1.71323529411765
"Elenaf",5,10,5,2,9,8,11,2
"Elenseel",1,4.5,3,2,1.5,4.5,7.5,2.5
"Elephantissimo",2,1,2,0,2,3,2,0
"Elephantus",1,2,3,0,0,6,6,4
"Eleven.diamonds",2,1,2,4,1,2,4,1
"Elf",1.83333333333333,2.11111111111111,2.61111111111111,2.77777777777778,3.05555555555556,2.88888888888889,4.33333333333333,2.38888888888889
"Elf-friend",2,1.33333333333333,3.66666666666667,3.66666666666667,2,1.66666666666667,4,1.33333333333333
"Elfelix",1,2,5,1,3,5,9,1
"Elfred",3,6,8,6,5,5,5,3
"Elhector",9.66666666666667,6.33333333333333,4.33333333333333,6,4,6.33333333333333,9.33333333333333,2
"Eli Falk",3,2,1,0,4.5,1,6,2
"Eliade",3,3,1,0,1,4,2,1
"Eliahna",5.5,4,4,3,1.5,6,11.5,2.5
"Elie plus",4.2,7.6,3.4,3.8,4,8.4,5.4,3
"ElijahBosley",6.2,5,4.8,2.8,4,6.2,10.8,2.2
"Eliko",4.4,4.7,3.4,4.6,2.8,2,5.1,1.3
"Elikrieg",0,0,0,0,0,1,0,0
"EliminatorJR",4,6.75,4,2.75,3.75,3.75,7,1
"ElinorD",2.875,4.34375,3.34375,3.375,3.75,5.53125,6.5,2.03125
"Elipongo",4.81818181818182,3.54545454545455,1.81818181818182,2.09090909090909,1.90909090909091,3.27272727272727,6.27272727272727,1
"ElisaEXPLOSiON",2.14285714285714,8.14285714285714,6,4,6,10.8571428571429,5.57142857142857,2.14285714285714
"Elisardojm",0.875,0,0,0,0,1.375,0,0
"Eliteimp",4,2,2,1,1,5,9,1
"Elitre",1,4,3,4,2,3,3,0
"Elitropia",1,1,0,0,5,1,2,0
"Eliveliv",6,4,1,0,3,3,4,1
"Eliyak",1.55555555555556,2.88888888888889,1.44444444444444,1.33333333333333,2.11111111111111,2.77777777777778,2.77777777777778,1.22222222222222
"Eliz81",0.8,1.2,2.2,2,1.6,3.2,2.8,1
"Eliz83",4,7,5,6,0,6,9,1
"Elizabennet",3,8,2,2,11,8,8,0
"Elizabeth Blandra",1,2,0,0,0,2,1,1
"Elizium23",3.81578947368421,4.65789473684211,3.44736842105263,2.02631578947368,3.63157894736842,4.42105263157895,7.23684210526316,1.76315789473684
"Elizmr",4.3,4.25,2.95,2.15,2.9,5.9,7.9,2.35
"Eljohnson15",4.5,7,4.83333333333333,2.83333333333333,6.5,6.16666666666667,10,3.83333333333333
"Elkman",5.01190476190476,5,4.3015873015873,3.22619047619048,4.1468253968254,4.9484126984127,8.66666666666667,1.98015873015873
"Ellie Dahl",4,4,3,0.5,1.5,3,4,2.5
"Ellin Beltz",5.33333333333333,5,6.16666666666667,4,3.83333333333333,8,11.1666666666667,3
"Elliskev",1,1.8,1.2,1,1.8,2.6,3.2,0.4
"Ellmist",1,1,0,0,1,1,1,0
"Ellomate",0,0,0,0,0,0,0,0
"Ellsworth",1.27777777777778,1.22222222222222,0.944444444444444,0.777777777777778,1.05555555555556,1.72222222222222,2,0.666666666666667
"Ellywa",0,2,1,3,2,5,5,2
"Elmindreda",3,1.5,2.5,0.5,1,3,3.5,1
"Elmondo21st",3,4,2,0,2,0,1,0
"Elmor",1,3,0,0,2,5,4,0
"Elockid",1.6,0.95,1,0.95,0.5,1.45,2.15,0.95
"Elohimgenius",7,10,8,6,1,10,17,3
"Elonka",5.65151515151515,6.68939393939394,5.40909090909091,4.22727272727273,5.27272727272727,6.21969696969697,10.4545454545455,2.38636363636364
"ElonkaBot",1,3,3,4,6,7,12,3
"Eloquence",1.09090909090909,1.54545454545455,1.18181818181818,0.515151515151515,1.06060606060606,1.33333333333333,2.63636363636364,0.96969696969697
"Elpepsinator",0,0,0,0,1,2,2,0
"Elphion",3.75,5,5,2.25,2.75,3.25,6,2.5
"Elpincha",3,6,2,3,4.5,5.5,5,1.5
"Elpiseos",1,3,2,1,5,1,2,1
"Elplatt",6,5,2,1,1,2,3,2
"Elred",3,2,2.5,1,2,2,5,1.5
"Elrith",4,3.66666666666667,2,2,4.66666666666667,4.66666666666667,7.66666666666667,2.33333333333333
"Elroch",4,6,4,3,9,7,4,1
"Elsnthesea",6,6,8,4,5,10,4,4
"Eluchil404",5.6,6.4,4,4.2,4.8,6.4,11.8,1.8
"Elucidate",5.11111111111111,7.11111111111111,4,2.33333333333333,3.44444444444444,8.22222222222222,8.55555555555556,2.44444444444444
"ElvenAmericans",8,8,8,6,4,12,11,4
"Elvenscout742",8,9.33333333333333,7.33333333333333,6,5.66666666666667,8.66666666666667,13,2.66666666666667
"Elvey",4,5.33333333333333,3.33333333333333,3,5.33333333333333,7,10.3333333333333,2
"ElvisFan1981",12,25,18.5,12,20.5,21.5,31,9.5
"Elvrum",2,5,3,2,2,1,2,0
"Emailaya",7.5,11.5,7.5,8,10.5,11.5,12,4
"EmanWilm",2.75,7.25,5.25,3.25,2.75,7.75,11.25,2.25
"Emargie",4.8,4.6,2.2,0.8,3.4,3,6.2,2.6
"Emarsee",4.07692307692308,5.76923076923077,3.30769230769231,2.15384615384615,2.53846153846154,3.53846153846154,7.07692307692308,1.84615384615385
"Emazoff",3,4,0,1,2,3,4,1
"Emba7 EilertE",4,4,3.33333333333333,2.33333333333333,2,2.66666666666667,2.66666666666667,0.666666666666667
"Embram",7,9.5,4.5,2.5,4,6,10.5,4
"Emccsm",8.5,6.5,5,4,4.5,6.5,8,6
"Emccurdy",13,11,4,4,6,11,21,5
"Emdelrio",10.3333333333333,6.66666666666667,5,2.66666666666667,5.33333333333333,11.6666666666667,15.6666666666667,1.66666666666667
"Emeraude",3.625,5,3.75,2.75,4.125,2.5,7.5,1.375
"Emerman",9.33333333333333,9.33333333333333,5.66666666666667,4.33333333333333,7,10.6666666666667,18.3333333333333,8.33333333333333
"Emetemet13",0,3,3,1,0,2,3,1
"Emhale",10,5,2,1,5,5,15,2
"Emhilradim",4,5,4,2.5,1.5,2.5,5,1.5
"Emiellaiendiay",1,1.5,1,1,1.5,2.5,2.5,0
"Emijrp",1.05063291139241,1.50632911392405,0.848101265822785,0.658227848101266,0.734177215189873,1.12658227848101,1.46835443037975,0.417721518987342
"EmilJ",4.58333333333333,4.41666666666667,3,1.91666666666667,3,3,7,1.91666666666667
"Emilong",4,16,8,3,8,11,14,4
"Emilyzilch",1.66666666666667,3.33333333333333,2,1.33333333333333,1,1.66666666666667,2.66666666666667,0
"Emir Arven",1,5.5,6.5,3.5,2,8.5,7.5,3
"Emir214",1,1,0,0,0,1,1,0
"Emirates123",3,3,2,3,2,5,7,2
"Emjaymem",1,0,0,0,0,1,0,0
"Emk",2,1,1,1,2,2,3,0
"Emmanuelm",6,7.5,1.5,1.5,4,3.5,8.5,4
"Emmerdaleguru",1,3,0,3,1,1,3,1
"Emmyray123",4,4,2,2,2,5,7,1
"Emoscopes",3,5.5,3,1.5,1,2.5,5,2
"Emote",7.33333333333333,8.66666666666667,7.66666666666667,4,7.66666666666667,12.6666666666667,13.6666666666667,2.33333333333333
"Empathictrust",11,4,4,2,6,6,11,3
"Emperor Genius",4.5,3,3.5,2,2,3.5,3.5,1
"Emperor001",6,3,6.5,2.5,3,4,14.5,2
"EmperorBrandon",2,3,3,2,1,0,5,3
"Emperork",1,0,0,0,0,0,0,1
"Empireheart",0,3,2,2,2,6,6,1
"Empty Buffer",2,2,2,2,3,3,3,0
"Emptymountains",2.5,0.5,1,1,2,0.5,3,0
"Emrgmgmtca",25,23,10,11,17,3,30,11
"Ems2715",3,7,1,1,1,3,2,1
"Emtigereyes",9,7,8,4,5,7,8,3
"Emuchick",0,2,2,0,2,2,2,0
"Emufarmers",0,0,0,0,0,0,0,0
"Emw",3,3.85714285714286,1.71428571428571,1.57142857142857,2.28571428571429,3.28571428571429,5.14285714285714,1.28571428571429
"Emw2012",1,0,0,2,0,1,2,0
"EnCASF",1,1.66666666666667,3,2.33333333333333,0.666666666666667,4.66666666666667,5.66666666666667,1
"EnDaLeCoMpLeX",2.14285714285714,2.57142857142857,1,0.857142857142857,2,1.71428571428571,2,0.571428571428571
"EnJx",2,2,4,1,3,4,3,2
"EnSamulili",0,0.5,0,0,0.5,1.5,1.5,0.5
"Enaidmawr",8.8,9,6.6,5,7,5.2,12.8,2.6
"EncMstr",3.02857142857143,3.6,1.91428571428571,1.74285714285714,2.14285714285714,3.02857142857143,5.2,1.31428571428571
"Encephalon",6.71428571428571,9.57142857142857,4.42857142857143,4.42857142857143,7.14285714285714,8.42857142857143,11.2857142857143,3.71428571428571
"Encolpe",1.5,3,1.5,1.5,0.5,3,3,0
"EncyMind",6,5.33333333333333,5.66666666666667,2,1.33333333333333,6,9.66666666666667,1.66666666666667
"EncycloPetey",4.09615384615385,4.26923076923077,2.94230769230769,2.15384615384615,2.11538461538462,2.13461538461538,6.61538461538461,1.80769230769231
"Encyclopaedia21",1,2,3,1,0,3,7,0
"EncyclopediaUpdaticus",3.5,5,3.5,1,2.5,5.5,6,0
"Encyclops",3,3,1,1,2,1,6,2
"Ender3057",4,3,1,3,1,2,4,0
"Ender3989",3,2,0,1,1,2,6,3
"Ending-start",2.46153846153846,3.88461538461538,2.80769230769231,2.30769230769231,3.34615384615385,5.07692307692308,4.76923076923077,1.26923076923077
"Endlessdan",3,4.46153846153846,2.38461538461538,1.07692307692308,2.46153846153846,3.69230769230769,3.30769230769231,1.07692307692308
"EndoExo",1,2.5,0.5,0,0,2.5,2.5,0.5
"Endofskull",0.652173913043478,1.45652173913043,1.39130434782609,1.6304347826087,1.60869565217391,2.97826086956522,2.52173913043478,0.565217391304348
"Endomion",4,3,2,3,1,2,3,1
"Endrick Shellycoat",9.33333333333333,5,3,1,5.33333333333333,6.66666666666667,13.3333333333333,3
"Endroit",1.71428571428571,2,2,2.14285714285714,1.42857142857143,2.71428571428571,3.57142857142857,0.857142857142857
"EnePaul225",5,3,7,4,5,6,9,1
"Enerelt",0.5,1.8,1,0.7,0.8,3.2,1.3,0.3
"Energizer07",2,3,2,2,1,5,4,0
"Energyfreak",3,7,1,0,3,6,3,0
"Enfcer",15,15,11,3,10,5,19,8
"Enforcing Neutrality",3.5,1.5,2,2.5,1.5,3,4,1.5
"Engeser",2,2.5,0.5,0.5,0.5,1,2.5,0.5
"Engineer 2009",5,6,6,2,2,7,7,2
"Engleham",3.5,4.5,2,2,2,3.5,5.5,2
"English User",0.75,2.5,1,0.75,1,3,1.75,0.25
"English peasant",5,6,3.75,2.75,3.25,6.25,12.5,3.5
"Englishrose",5.33333333333333,3,2.66666666666667,1.33333333333333,2.33333333333333,0.666666666666667,5,1.66666666666667
"Engusz",0,4,2,2,2,4,1,0
"Enigma3542002",3.625,5.125,4.5,4.125,3.625,2.75,7.5,1.5
"EnigmaMcmxc",3,1.2,1.6,1.4,1.2,2.2,4,0.8
"Enigmaman",1.98850574712644,2.64367816091954,1.74712643678161,1.44827586206897,1.97701149425287,2.82758620689655,3.6551724137931,1.06896551724138
"Enigmatical",11.6666666666667,19.3333333333333,11,11.3333333333333,16.3333333333333,9.66666666666667,19.6666666666667,7.66666666666667
"Enigmaticanant",5.42857142857143,3.85714285714286,3.42857142857143,3.28571428571429,4.57142857142857,2.42857142857143,6.42857142857143,1.28571428571429
"Enix150",4,7.33333333333333,3,3.33333333333333,5,4,5.33333333333333,1.33333333333333
"Enki H.",2,1,0,2,0,0,3,3
"Enochlau",2.96296296296296,2.37037037037037,1.96296296296296,1.22222222222222,2.55555555555556,2.51851851851852,4.77777777777778,1
"Enquire",5.5,3.5,1.5,1.5,2.5,2,7.5,0
"Enric Naval",3.15,3.55,2.275,1.75,2.825,2.825,5.425,1.35
"EnsRedShirt",2,0.666666666666667,0.333333333333333,0.666666666666667,1,0.666666666666667,3,1
"Ensrifraff",3,7,3,2,2,10,7,3
"Enstantkill",5,4,2,1,3,3,6,1
"Enter Movie",6,3,2.16666666666667,1,2.83333333333333,3.66666666666667,5.66666666666667,1.16666666666667
"Enti342",1,1.5,0,2.5,1,2,3.5,0.5
"EntmootsOfTrolls",22,22,16,12,26,26,56,14
"Entro-p",2,4,4,3,1,8,8,5
"Entropy1963",15.5,14.5,9,9.5,11,19.5,24.5,5.5
"EnviroGranny",1,1,3,3,1,4,1,1
"Enviroboy",1,0,0,1,1,2,0,0
"Enviroknot",1,4,6,0,4,5,2,1
"Environnement2100",6,7,5,3,1,6,11,2
"Enzedbrit",2.5,1.5,1,1.5,3,1.5,4,0.5
"Enzino",2,1.5,1,0.5,0.5,0.5,1.5,0.5
"Enzuru",3,2,4,3,4,5,5,0
"Eoghanacht",7.2,5.4,3.6,2.6,3.4,3.6,8.8,2.6
"Epachamo",4,6.5,2,3,3,4,2,1.5
"Epbr123",1.76190476190476,2.57142857142857,2.19047619047619,1.85714285714286,1.38095238095238,4.33333333333333,3.66666666666667,1.04761904761905
"Epeefleche",3.91566265060241,4.71686746987952,3.36746987951807,2.00602409638554,3.36144578313253,4.29518072289157,7.36746987951807,1.53012048192771
"Ephebi",3.66666666666667,5,4.5,3.33333333333333,4.16666666666667,2.66666666666667,9.66666666666667,2.33333333333333
"Ephidel",3,1,2,4,2,2,4,2
"Ephilei",7,3,2,1,4,4,8,0
"Ephraim Spiro",1,6,3,1,1,5,2,0
"Ephraim33",6,4,2.5,3,1,2,4.5,0.5
"Epic revenge",0,1,0,0,0,1,0,0
"Epicadam",5.80645161290323,5.96774193548387,4.09677419354839,4.16129032258065,3.93548387096774,3.32258064516129,8.12903225806452,2.80645161290323
"Epipelagic",3.75555555555556,5.6,4.04444444444444,3.55555555555556,3.26666666666667,5.15555555555556,7.62222222222222,1.8
"Epiphyllumlover",1,3,1,2,2,5,3,0
"EpochFail",4.66666666666667,6.33333333333333,3.33333333333333,4.33333333333333,4,7.33333333333333,8,1.33333333333333
"Eposty",2,4,2,2,0.5,1.5,4.5,1.5
"Epousesquecido",1,3,0,1,3,1,5,0
"EpsilonOmega",3,11,5,0,5,5,6,2
"Epson291",3,5.33333333333333,4.33333333333333,1.33333333333333,3.33333333333333,5.33333333333333,5.66666666666667,1.66666666666667
"Epzcaw",7,8,9,2,5,4,10,5
"Epzy",1,2,0,1,0,1,2,0
"Equalx",5,12,9,4,5,16,15,3
"Equazcion",4.875,4.375,3.125,1.375,2.75,7.75,9,2.375
"Equendil",7,4,5,2,1,8,6,2
"Equinox137",0.5,0.5,0,0,0,1,2.5,0
"Equivamp",6.5,7.25,4.75,4,4.5,11.25,9,1.75
"EraNavigator",8.2,4.6,3,2.6,2.8,6,11.8,2.4
"Eramaps",6.5,8.5,4.5,5.5,3.5,5.5,13.5,3
"EraserGirl",3.5,5,0.5,0.5,2,4,2.5,2
"Eraserhead1",1.88695652173913,2.09565217391304,1.3304347826087,1.31304347826087,1.4,1.87826086956522,3.39130434782609,0.930434782608696
"Erasmussen",3,2,3,0,5,4,7,0
"Erdosfan",3,3,1,0,2,2,3,0
"Erebedhel",8,4,11,6,6,17,11,3
"Erebus555",1.16666666666667,2,1.5,1.5,0.833333333333333,2.83333333333333,2.33333333333333,0.5
"Erechtheus",4.66666666666667,4.11111111111111,3.33333333333333,2.33333333333333,4.88888888888889,5.33333333333333,8,1.11111111111111
"Ereep",13.5,18,12.5,8.5,17,17,26,4.5
"Erekint",9,15,10,8,19,6,23,6
"ErgoSum88",5.30769230769231,7.46153846153846,5.23076923076923,3,5.23076923076923,8.46153846153846,9.76923076923077,4.15384615384615
"Erianna",5.3,3.7,3.5,2.5,1.7,2.3,7.3,1
"Eriastrum",1,1,1,1,0,1,1,0
"Eric",3.75,1.375,2.375,1.625,1.625,3.5,6.5,0.625
"Eric Baer",7,2,2,1,1,5,7,1
"Eric Jack Nash",1,5,5,1,8,7,6,3
"Eric Kvaalen",1,3,2,0,3,4,5,0
"Eric1985",2.5,3,1,1,2.5,2,3.5,0.5
"Eric444",0.333333333333333,2,2,1,0.333333333333333,2,2.66666666666667,1.66666666666667
"EricDiesel",3.75,5,3.5,0.5,4,2,5.25,1
"EricR",2,1.33333333333333,0.666666666666667,0,0.333333333333333,1.33333333333333,2,0.333333333333333
"EricV89",3,3,3,2,3,6,3,0
"Ericci8996",10,17,9,10,4,23,34,3
"Ericdn",5,1,0,1,0,0,5,1
"Ericg33",1,1,0,1,1,2,0,0
"Erich Mayer",4,2,0,1,6,2,4,2
"Ericl",5.5,5,3.5,4.5,5,2,9,4
"Ericleb01",1,1,0.333333333333333,1,0.333333333333333,1,2,0.333333333333333
"Ericoides",6.11538461538461,6.07692307692308,4.84615384615385,3.5,4.73076923076923,5.69230769230769,9.84615384615385,2.34615384615385
"Ericorbit",3.90909090909091,4.22727272727273,2.86363636363636,3,3.09090909090909,3.68181818181818,5.72727272727273,2.13636363636364
"Ericsaindon2",3,4.5,2,2,2,0.5,7,2.5
"Ericthebrainiac",2,2,3,1,2,5,1,1
"Erielhonan",4,6,8,3,3,5,6,1
"Erigu",1,1,1,1,1,1,1.5,1
"Erik",6.09302325581395,7.04651162790698,3.96511627906977,3.58139534883721,4.08139534883721,5.26744186046512,9.76744186046512,2.2906976744186
"Erik Evrest",2.66666666666667,1.66666666666667,3.66666666666667,1.66666666666667,1,2,4.33333333333333,0.666666666666667
"Erik the Appreciator",1,2,1.5,0.5,2.5,5.5,3.5,1.5
"Erik the Red 2",3.2,3.2,0.8,0.8,1.2,1.2,4.6,0.6
"Erik the Rude",2,7,1,0,1,2,2,1
"Erik1980",4,2,3,3,3,2,4,3
"Erik9",1.5,2.5,0,0,0.5,1,3.5,0
"ErikHaugen",3.05660377358491,4.18867924528302,2.49056603773585,2.73584905660377,3.49056603773585,3.32075471698113,5.66037735849057,1.77358490566038
"ErikNY",5,4,6,2,6,4,13,2
"ErikTheBikeMan",2.5,4,2.5,1.75,2.25,2,5.25,1.25
"ErikWarmelink",6,4.5,3.5,2,3.75,3.75,10.75,1.75
"Erikeltic",2.82352941176471,3.97058823529412,2.08823529411765,2,2.32352941176471,4.5,5,1.58823529411765
"Erikster",5.5,6.0625,5.25,3.5,4.6875,6.3125,10.5,2.6875
"Eriorguez",0,0,0,0,0,1,1,0
"Ermancetin",1.5,1.5,0,0,1.5,0.5,0.5,0.5
"Ermeyers",3,1.6,3.4,1.8,1.8,2.8,5,1.2
"ErnestIsTheMan",10,7,7,4,4,12,15,3
"Ernestfax",3,2,1,1,2,3,4,3
"Ernst Stavro Blofeld",1.45454545454545,2.18181818181818,1,0.454545454545455,1.18181818181818,1.54545454545455,2,0.727272727272727
"Ernst_Stavro_Blofeld",2.33333333333333,2.77777777777778,2,2,2,3.55555555555556,3.55555555555556,0.555555555555556
"Ernsts",1,1,1,0,1,1,1,0
"EronMain",3.66666666666667,3.16666666666667,2.16666666666667,1.5,1.66666666666667,2.5,5.66666666666667,1.33333333333333
"Eronel189",3,8,5,3,9,8,7,12
"Erpbridge",16,11,14,4,4,6,23,9
"Erpert",1,2,1.52941176470588,0.941176470588235,1.29411764705882,2.41176470588235,2.64705882352941,0.411764705882353
"Errabee",2.18181818181818,2.18181818181818,1.54545454545455,1.27272727272727,1.72727272727273,1.45454545454545,3.36363636363636,0.909090909090909
"ErrantX",5.15789473684211,4.84210526315789,3.52631578947368,2.52631578947368,5.05263157894737,4.47368421052632,8.31578947368421,3
"Error",1.11111111111111,1.22222222222222,0.666666666666667,0.333333333333333,0.888888888888889,0.555555555555556,1.77777777777778,0.111111111111111
"Erudy",3,3,0,3,2,6,4,2
"Erwin",0.5,2,1.5,1,0,1.5,1.5,0
"Erwin Springer",1,1.25,1,1.5,0.5,3.25,2.75,0.5
"Erwin85",6,5,6,6,3,9,11,2
"Erwin85Bot",3.78378378378378,6.62162162162162,1.97297297297297,1.16216216216216,4.83783783783784,1.40540540540541,5.24324324324324,0.432432432432432
"Es.Gusgus",0,0,0,0,0,0,0,0
"Esanchez7587",4.11764705882353,4.29411764705882,2.29411764705882,1.76470588235294,2.58823529411765,3.47058823529412,5.35294117647059,1.76470588235294
"Escape Artist Swyer",4,3,1,0,3,1,6,0
"Escape_Orbit",2.32,3.6,2.52,1.8,3.52,2.36,4.04,0.96
"Esemono",4,3,3.66666666666667,2,4,3.33333333333333,5.33333333333333,2.33333333333333
"Eshown",0,1,1,0,0,2,1,0
"Eskimo.the",6,5,5,2.5,6.5,3.5,11.5,2.5
"Eskimospy",0,2,0,1,1,3,2,1
"Esn",4.66666666666667,5.33333333333333,3.63333333333333,2.8,4.26666666666667,4.16666666666667,6.73333333333333,1.83333333333333
"Esoglou",2.25,1.5,0.75,0.25,1.25,1.75,3,1
"Esoteric Rogue",3,6,6,3,1,7,8,1
"Esowteric",5,4,1,1,2,7,2,2
"EspanaViva",0,0,0,0,0,0,0,0
"Espoo",4.8,5.68,4.28,3.72,5.2,3.84,8.12,3.4
"Espresso Addict",3.54237288135593,3.47457627118644,2.72881355932203,2.49152542372881,2.30508474576271,4,6.66101694915254,1.69491525423729
"Esprit15d",2.71428571428571,3.71428571428571,3,2.71428571428571,4.57142857142857,2.71428571428571,5.57142857142857,2
"Esprqii",2.71428571428571,3.57142857142857,2.85714285714286,2.78571428571429,2.57142857142857,4.71428571428571,5.71428571428571,1.21428571428571
"Esradekan",4.5,3.5,3,1.5,3,6.5,8,1.5
"Esrever",2.33333333333333,4.66666666666667,2,1.33333333333333,2,3.33333333333333,4.66666666666667,2.33333333333333
"Esseh",1,9,2,5,7,9,10,2
"Essin",0,0,0,0,0,2,2,1
"Essjay",2.25641025641026,3.79487179487179,2.51282051282051,1.92307692307692,2.33333333333333,4.15384615384615,5.33333333333333,1.17948717948718
"Estavisti",3,1.5,3.25,2,1,2.25,4.25,1.25
"Esteban.barahona",3,8,4,3,5,4,4,4
"Esteffect",3.5,2.5,1.5,2,2.5,1,2.5,2.5
"EstherLaver",3,3,3,2,2,7,6,1
"Estheroliver",4,4,2,2,4,0,2,0
"Estreya",2,5.33333333333333,2,3,3.66666666666667,6,5.33333333333333,1
"Esuzu",0,0,0.0833333333333333,0,0,0.25,0.5,0.333333333333333
"Etacar11",3.5,3,2,1,3,1.5,3,0.5
"Etaige",0,1,0,0,0,0,0,0
"Eternal Eclipse",3.22222222222222,3.66666666666667,3.11111111111111,2.22222222222222,2.22222222222222,5.88888888888889,5.44444444444444,1.88888888888889
"Eternal Equinox",2,2,3,1,1,5,6,1
"Etf",13,15,11,12,7,22,23,8
"Ethansmith",2,1.5,1,1.5,0.5,3.5,2.5,0
"Ethelh",1.5,4,0,0.5,1.5,5,3,0
"EthemD",4.5,7.5,4.5,4.5,4.5,6,11,3
"Ethicoaestheticist",2.5,1,1.5,1,0,0.5,1,1
"Etineskid",6,6,3,3,4,6,9,3
"Etrangere",4.5,6,2.5,3,3,6.5,8,2
"Etrigan",7,8.33333333333333,5.33333333333333,2.33333333333333,5.33333333333333,2.66666666666667,10,4.33333333333333
"Ettrig",2.625,3.75,1.75,1.66666666666667,2.20833333333333,3.29166666666667,4.125,1.20833333333333
"Eu.stefan",0.6,1.4,0.6,1.2,1.2,3.2,1.2,0.8
"Eubulides",3.78571428571429,3.92857142857143,3.14285714285714,2.71428571428571,2.71428571428571,3.5,6.92857142857143,1.78571428571429
"Euchiasmus",4.6,4.4,2.8,3.2,4,4.8,5.8,2.4
"Eug.galeotti",5,9,5,6,7,12,8,5
"Eugen Simion 14",2,3,0,0,1,3,3,1
"Eugene Krabs",0.5,0.5,0.833333333333333,0.166666666666667,1,1.66666666666667,1,0.166666666666667
"Eugene van der Pijll",2.5,1.66666666666667,1.33333333333333,1.16666666666667,1.33333333333333,3.33333333333333,4.83333333333333,1
"Eugene-elgato",3,3.33333333333333,4,3,2,3.66666666666667,5.33333333333333,1.33333333333333
"Eugene2x",1,1.5,1,1,1.5,2,2,0.5
"EugeneZelenko",0.162162162162162,1.40540540540541,0.810810810810811,0.864864864864865,1,1.10810810810811,2,0.351351351351351
"Eugeneacurry",8,3,1.5,0.5,1.5,4.5,11,4
"Eugeniu B",3,2,3,0,3,7,6,2
"EunSoo",9,13,6,4,6,3,17,7
"Eupator",4.16666666666667,5,3.66666666666667,3.33333333333333,4.33333333333333,6.5,7.5,2.16666666666667
"EurekaLott",5.13333333333333,2.53333333333333,2.2,1.73333333333333,1.93333333333333,2.13333333333333,5.6,1.73333333333333
"Eurekanative",3.5,3.5,2.5,1.5,2,5.5,4.5,1
"EuroTom",7,6,5,2,1,7,9,2
"Eurobas",1,4,1,1,2,2,3,1
"Eurocommuter",8,4.5,4,3.5,2,5,13.5,2.5
"Eurocopter",4,3.7,3.05,2.3,2.25,3.65,6.6,1.8
"Eurocopter tigre",3.11111111111111,2.55555555555556,0.777777777777778,0.888888888888889,0.555555555555556,1.55555555555556,4.44444444444444,0.333333333333333
"Europe22",2.14285714285714,2.14285714285714,1.57142857142857,1,1.28571428571429,4.57142857142857,3.14285714285714,1
"Eurosong",4,8.33333333333333,3,1.33333333333333,7.66666666666667,6,5.66666666666667,2.66666666666667
"EurowikiJ",1.33333333333333,3.66666666666667,3,0.666666666666667,2,6.33333333333333,5.33333333333333,2.33333333333333
"Euryalus",2.93103448275862,2.31034482758621,2.3448275862069,1.68965517241379,1.55172413793103,1.68965517241379,5.24137931034483,1.31034482758621
"Eurytemora",3,1.5,1.5,2.5,0.5,1.75,4.25,2
"Eusebeus",3.77272727272727,4.36363636363636,3.13636363636364,1.77272727272727,2.22727272727273,5.18181818181818,6.45454545454545,1.95454545454545
"Eusebius",1,1,0.5,1.5,1,1,1.5,0
"EustaquioAsecas",1,5,0,0,5,6,3,1
"Eustress",2.08333333333333,2.25,2.25,1.33333333333333,1.08333333333333,3.5,5.29166666666667,1.08333333333333
"Euthymios",0,1.5,1.5,0.5,1,1,1.5,0.5
"Ev",4,2.18181818181818,1.81818181818182,1.72727272727273,1.81818181818182,2.72727272727273,5.63636363636364,1.27272727272727
"EvanCarroll",3,1,1,0,0,3,3,0
"EvanHarper",1.5,1,2,2,1,2,2,0
"EvanProdromou",1.3125,1.125,1.0625,1.125,0.8125,2.75,2.9375,0.875
"Evans1982",7,3,3,2,2,2,7,2
"Evansza1",2.66666666666667,5,2,0.666666666666667,2.66666666666667,3.33333333333333,3.33333333333333,0.333333333333333
"Evanwohrman",5,10,13,6,2,7,8,2
"Evanx",2,0,1,1,0,4,4,1
"Evb-wiki",3,3,2,1,1.5,4.5,5.5,1
"Evenios",4,1,2,3,2,5,9,3
"Evensong",10.5,10.5,6.5,5.5,8.5,7,14.5,5.5
"EventHorizon",3.22222222222222,4.11111111111111,2.88888888888889,2.22222222222222,3.66666666666667,4.33333333333333,6.22222222222222,1.11111111111111
"Everard Proudfoot",0.8,1.1,0.7,0.9,1,1.4,1.5,0.4
"Evercat",1.83333333333333,1.94444444444444,1.38888888888889,1.38888888888889,2.11111111111111,3.27777777777778,2.33333333333333,0.833333333333333
"Everlast118",0,3,1,3,2,4,2,0
"Everlong",3,1,1,0,1,0,9,2
"Everpassingpxpx",4,1,2,2,1,5,5,3
"Evertype",2.76470588235294,3.76470588235294,2.47058823529412,1.41176470588235,3,2.64705882352941,5.58823529411765,0.764705882352941
"EveryDayJoe45",2.0952380952381,4.14285714285714,3.0952380952381,2.33333333333333,2.52380952380952,5.19047619047619,3.42857142857143,1.04761904761905
